Position,Title,ReleaseDate,ExternalId,Score,GameId,CoverImageId
1,Metroid Prime,2002-11-17,1105,15,427,co3w4w
2,The Legend of Zelda: The Wind Waker,2002-12-13,1033,14,532,co3ohz
3,Super Smash Bros. Melee,2001-11-21,1627,13,533,co21yv
4,Resident Evil 4,2005-01-11,974,12,426,co2wk8
5,The Legend of Zelda: Twilight Princess,2006-11-19,1036,11,535,co3mtv
6,Animal Crossing,2001-12-14,2655,10,541,co3wmn
7,Super Mario Sunshine,2002-07-19,1075,9,1094,co21rh
8,Pikmin 2,2004-04-29,2240,8,537,co5y6q
9,Star Wars: Rogue Squadron II - Rogue Leader,2001-11-09,4181,7,542,co1w3u
10,Mario Kart: Double Dash!!,2003-11-07,2344,6,1355,co21yz
11,SoulCalibur II,2002-07-10,1565,5,1357,co62a6
12,Fire Emblem: Path of Radiance,2005-04-20,1441,4,538,co1ofh
13,Paper Mario: The Thousand-Year Door,2004-07-22,3349,3,531,co25us
14,Viewtiful Joe,2003-06-26,4229,2,1358,co53ji
15,Pikmin,2001-10-26,2239,1,1359,co2eph
